date,profile_views,profile_uniques,followers,sktime_views,sktime_uniques,gaussian_process_views,gaussian_process_uniques,LMT_views,LMT_uniques,variational_inference_views,variational_inference_uniques,uv_python_template_views,uv_python_template_uniques,sktime_clones,sktime_clone_uniques,LMT_clones,LMT_clone_uniques
2026-02-18,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-19,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2026-02-20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,46,23
2026-02-21,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,3,3
2026-02-22,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2026-02-23,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2026-02-24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-25,0,0,4,0,0,0,0,0,0,0,0,3,3,1,1,1,1
2026-02-26,0,0,4,0,0,0,0,0,0,0,0,6,6,0,0,2,2
2026-02-27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-02-28,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-03-02,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
